super_pop	population	hex	rgb
AFR	ACB	f4971d	244,151,29
AFR	AFR	DB7D27	219,125,39
AFR	ASW	e9651e	233,101,30
AFR	ESN	fecf0d	254,207,13
AFR	GWD	fbeb09	251,235,9
AFR	LWK	cb9a31	203,154,49
AFR	MSL	dfb819	223,184,25
AFR	YRI	feca6a	254,202,106
AMR	AMR	D72519	215,37,25
AMR	CLM	cc3133	204,49,51
AMR	MXL	df0036	223,0,54
AMR	PEL	e61420	230,20,32
AMR	PUR	cb3413	203,52,19
EAS	CDX	369934	54,153,52
EAS	CHB	aeca10	174,202,16
EAS	CHS	66b42a	102,180,42
EAS	EAS	41A22F	65,162,47
EAS	JPT	158d34	21,141,52
EAS	KHV	4dad38	77,173,56
EUR	CEU	264999	38,73,153
EUR	EUR	2D6F91	45,111,145
EUR	FIN	32bac5	50,186,197
EUR	GBR	70c0d2	112,192,210
EUR	IBS	6385af	99,133,175
EUR	TSI	293065	41,48,101
SAS	BEB	831b82	131,27,130
SAS	GIH	6b3f94	107,63,148
SAS	ITU	b12e60	177,46,96
SAS	PJL	dd1384	221,19,132
SAS	SAS	782B8A	120,43,138
SAS	STU	a7529b	167,82,155
