#sample: fastq file name.
#cell: cell identifier.
#score: binary score for Strand-seq library quality; 1=high; 0=low.
#comment: annotation of how library performed (as assessed by ADS).
#reads:  Filtered reads used for counting.
sample	cell	score	comments	reads
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20401	1	pass	524521
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20403	1	low_cov	59158
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20404	1	pass	226319
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20405	1	just_OK	91392
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20406	1	pass	165621
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20407	1	incompl_BrdU	308974
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20410	1	pass	326234
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20411	0	low_cov	45530
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20412	0	2x_BrdU	304416
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20413	1	pass	324372
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20414	1	pass	290172
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20415	1	bg	278154
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20416	1	pass	130038
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20418	1	pass	309556
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20419	0	low_cov	23287
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20420	1	pass	326136
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20422	1	pass	390738
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20423	1	pass	659330
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20425	1	pass	157499
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20426	1	pass	137647
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20427	1	pass	148292
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20428	1	pass	180120
