# scoring information for HGSVC2 samples perfromed by ADSanders March 2020
# sample: sample Name
# cell: Name of the cell
# StS_score: strandseq scores, 1 = pass 0.5 = lower quality but usable, 0 = fail
# comments_unified: simplified explaination for score
# comments_ADS: original  notes made at first manual assessment
# mapped: Total number of reads seen
# suppl: Supplementary, secondary or QC-failed reads (filtered out)
# dupl: Reads filtered out as PCR duplicates
# mapq: Reads filtered out due to low mapping quality
# read2: Reads filtered out as 2nd read of pair
# good: Reads used for counting
# nb_p: Negative Binomial parameter p. Constant for one sample
# nb_r: Negative Binomial parameter r. We use NB(p,r/2) * NB(p,r/2) in WC states, but NB(p,(1-a)*r)*NB(p,a*r) in WW or CC states.
# nb_a: Negative Binomial parameter a (alpha) used for zero expectation (see above)
# bam: Bam file of this cell
sample	cell	Sts_score	comments_unified	comments_ADS	final	medbin	mapped	suppl	dupl	mapq	read2	good	pass1	nb_p	nb_r	nb_a	bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20401	1	good	no_comments_made	1	35	1633946	806	475367	110531	522721	524521	1	0.313032	16.3915	0.1	bam/GM12329x02PE20401.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20402	0	low_cov	empty	0	0	9707	8	843	894	3609	4353	0	0	0	0	bam/GM12329x02PE20402.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20403	0.5	low_cov	low_cov	1	3	155510	97	25558	11754	58943	59158	1	0.313032	1.84558	0.1	bam/GM12329x02PE20403.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20404	1	good	no_comments_made	1	14	675771	369	175663	48041	225379	226319	1	0.313032	7.0598	0.1	bam/GM12329x02PE20404.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20405	0.5	OK	just_OK	1	5	284307	94	84210	17496	91115	91392	1	0.313032	2.85655	0.1	bam/GM12329x02PE20405.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20406	1	good	no_comments_made	1	10	501184	271	139799	30520	164973	165621	1	0.313032	5.17745	0.1	bam/GM12329x02PE20406.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20407	0.5	under_BrdU	some_incomple_BrdU?	1	20	955922	483	275121	63240	308104	308974	1	0.313032	9.65917	0.1	bam/GM12329x02PE20407.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20408	0	low_cov	empty	0	0	3944	0	39	225	1830	1850	0	0	0	0	bam/GM12329x02PE20408.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20409	0	low_Q	some_bg	0	6	275336	158	68472	17176	94557	94973	1	0.313032	2.96926	0.1	bam/GM12329x02PE20409.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20410	1	good	no_comments_made	1	21	979796	471	262897	65023	325171	326234	1	0.313032	10.1894	0.1	bam/GM12329x02PE20410.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20411	0	low_cov	low_cov	0	2	107172	52	8782	7922	44886	45530	0	0	0	0	bam/GM12329x02PE20411.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20412	0	over_BrdU	large_gaps_-_2x_BrdU	0	21	909439	327	249161	52370	303165	304416	1	0.313032	9.54116	0.1	bam/GM12329x02PE20412.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20413	1	good	no_comments_made	1	21	962162	495	246552	67384	323359	324372	1	0.313032	10.1351	0.1	bam/GM12329x02PE20413.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20414	1	good	no_comments_made	1	19	884600	432	250259	54525	289212	290172	1	0.313032	9.05502	0.1	bam/GM12329x02PE20414.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20415	1	OK	some_bg	1	18	835752	440	221736	58246	277176	278154	1	0.313032	8.6832	0.1	bam/GM12329x02PE20415.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20416	1	good	no_comments_made	1	8	334105	187	49080	25364	129436	130038	1	0.313032	4.05749	0.1	bam/GM12329x02PE20416.sort.mdup.bam
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20417	0	under_BrdU	incomple_BrdU	0	18	854314	407	244176	54857	276941	277933	1	0.313032	8.68604	0.1	bam/GM12329x02PE20417.sort.mdup.bam
