"Population code"	"Population elastic ID"	"Population name"	"Population description"	"Population latitude"	"Population longitude"	"Superpopulation code"	"Superpopulation name"	"Superpopulation display colour"	"Superpopulation display order"	"Number of samples"	"Data collections"
"CHS"	"CHS"	"Southern Han Chinese"	"Han Chinese South"	23.13333	113.266667	"EAS"	"East Asian Ancestry"	"#778500"	3	171	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,The Human Genome Structural Variation Consortium,1000 Genomes phase 3 release,1000 Genomes phase 1 release,90 Han Chinese high coverage genomes"
"FIN"	"FIN"	"Finnish"	"Finnish in Finland"	60.17	24.93	"EUR"	"European Ancestry"	"#018ead"	4	105	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"PUR"	"PUR"	"Puerto Rican"	"Puerto Rican in Puerto Rico"	18.4	-66.1	"AMR"	"American Ancestry"	"#710027"	2	150	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,The Human Genome Structural Variation Consortium,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"KHV"	"KHV"	"Kinh Vietnamese"	"Kinh in Ho Chi Minh City, Vietnam"	10.78	106.68	"EAS"	"East Asian Ancestry"	"#778500"	3	124	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"ACB"	"ACB"	"African Caribbean"	"African Caribbean in Barbados"	13.1	-59.62	"AFR"	"African Ancestry"	"#ffd845"	1	123	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"BEB"	"BEB"	"Bengali"	"Bengali in Bangladesh"	23.7	90.35	"SAS"	"South Asian Ancestry"	"#c44cfd"	5	144	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"ASW"	"ASW"	"African Ancestry SW"	"African Ancestry in Southwest US"	35.483	-97.53333	"AFR"	"African Ancestry"	"#ffd845"	1	112	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"GWD"	"GWD"	"Gambian Mandinka"	"Gambian in Western Division, The Gambia - Mandinka"	13.454876	-16.579032	"AFR"	"African Ancestry"	"#ffd845"	1	280	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Gambian Genome Variation Project (GRCh37),Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)"
"MSL"	"MSL"	"Mende"	"Mende in Sierra Leone"	8.48	-13.23	"AFR"	"African Ancestry"	"#ffd845"	1	128	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"ESN"	"ESN"	"Esan"	"Esan in Nigeria"	9.06666	7.483333	"AFR"	"African Ancestry"	"#ffd845"	1	173	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
