sample	in_Science2021_HGSVC2	comment	pgas_v14_run	sample_number
HG00268	no	no_comment	1	1
HG00512	yes	no_comment	1	2
HG00513	yes	no_comment	1	3
HG00514	yes	no_comment	1	4
HG00731	yes	no_comment	1	5
HG00732	yes	no_comment	1	6
HG00733	yes	no_comment	1	7
HG01352	no	no_comment	1	8
HG01457	no	HGSVC_backup_samples	1	9
HG02059	no	no_comment	1	10
HG02106	no	no_comment	1	11
HG02282	no	Sep-2021_in-production	1	12
HG02554	no	no_comment	1	13
HG02666	no	no_comment	1	14
HG02769	no	no_comment	1	15
HG02818	yes	MGI_data	1	16
HG02953	no	no_comment	1	17
HG03125	yes	MGI_data	1	18
HG03248	no	no_comment	1	19
HG03452	no	no_comment	1	20
HG03486	yes	MGI_data	1	21
HG03520	no	Sep-2021_in-production	1	22
HG03807	no	no_comment	1	23
HG04036	no	HGSVC_backup_samples	1	24
HG04217	no	no_comment	1	25
NA12878	yes	GIAB_data	1	26
NA18989	no	no_comment	1	27
NA19129	no	no_comment	1	28
NA19238	yes	no_comment	1	29
NA19239	yes	no_comment	1	30
NA19240	yes	no_comment	1	31
NA19317	no	no_comment	1	32
NA19320	no	no_comment	1	33
NA19331	no	no_comment	1	34
NA19347	no	no_comment	1	35
NA19384	no	HGSVC_backup_samples	1	36
NA19434	no	Sep-2021_in-production	1	37
NA19836	no	Sep-2021_in-production	1	38
NA20355	no	no_comment	1	39
NA21487	no	no_comment	1	40
NA24149	no	HPG_data_SIG-chrY_only	0	-1
NA24385	yes	HPG_data	1	41
