sample	sex	family_id	relationship	population	super_population	color_hex_superpop	population_description
HG01879	male	BB01	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01880	female	BB01	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01881	female	BB01	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01882	male	BB02	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01883	female	BB02	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01884	female	BB03	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01885	male	BB03	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01886	female	BB04	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01887	male	BB04	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01888	male	BB02	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01889	female	BB05	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01890	male	BB05	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01891	female	BB05	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01894	female	BB06	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01895	male	BB06	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01896	female	BB07	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01897	male	BB07	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01912	male	BB06	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01914	male	BB09	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01915	female	BB09	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01916	female	BB09	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01956	female	BB03	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01958	female	BB10	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01959	female	BB10	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01960	female	BB11	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01985	female	BB08	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01986	male	BB10	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01987	male	BB12	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01988	male	BB11	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01989	female	BB11	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG01990	male	BB12	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02009	male	BB13	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02010	female	BB13	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02011	male	BB13	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02012	female	BB12	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02013	male	BB07	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02014	male	BB04	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02051	male	BB14	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02052	female	BB14	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02053	male	BB15	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02054	female	BB15	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02055	male	BB15	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02095	female	BB16	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02107	male	BB18	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02108	female	BB18	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02111	female	BB19	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02143	male	BB20	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02144	female	BB20	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02145	male	BB20	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02255	male	BB21	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02256	female	BB21	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02257	female	BB21	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02258	male	BB22	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02280	female	BB23	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02281	male	BB24	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02282	female	BB24	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02283	male	BB25	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02284	male	BB26	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02307	male	BB23	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02308	female	BB23	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02309	female	BB25	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02314	male	BB22	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02315	female	BB22	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02316	male	BB27	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02317	male	BB27	father	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02318	female	BB27	mother	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02321	female	BB24	child	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02322	female	BB28	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02323	male	BB29	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
HG02325	female	BB30	unspecified	ACB	AFR	#FFD845	"African Caribbean in Barbados"
