individual	sex	super_population	population	project_context	data_source	HIFI_data	CLR_data	is_skipped	PGAS	HIFI_path	CLR_path	SSEQ_path
HG02011	male	AFR	ACB	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
NA19983	female	AFR	ASW	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG03125	female	AFR	ESN	Science2021	HGSVC[MGI]	yes-HIFI	no-clr	False	v12	N/A	N/A	N/A
HG03371	male	AFR	ESN	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG02587	female	AFR	GWD	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG02818	female	AFR	GWD	Science2021	HGSVC[MGI]	yes-HIFI	no-clr	False	v12	N/A	N/A	N/A
NA19036	female	AFR	LWK	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG03065	male	AFR	MSL	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG03486	female	AFR	MSL	Science2021	HGSVC[MGI]	yes-HIFI	no-clr	False	v12	N/A	N/A	N/A
NA19238	female	AFR	YRI	Science2021	HGSVC	yes-HIFI	yes-CLR	False	v12	N/A	N/A	N/A
NA19239	male	AFR	YRI	Science2021	HGSVC	yes-HIFI	yes-CLR	False	v12	N/A	N/A	N/A
NA19240	female	AFR	YRI	Science2021	HGSVC	yes-HIFI	yes-CLR	False	v12	N/A	N/A	N/A
HG01114	female	AMR	CLM	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
NA19650	male	AMR	MXL	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG01573	female	AMR	PEL	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG00731	male	AMR	PUR	Science2021	HGSVC	yes-HIFI	yes-CLR	False	v12	N/A	N/A	N/A
HG00732	female	AMR	PUR	Science2021	HGSVC	yes-HIFI	yes-CLR	False	v12	N/A	N/A	N/A
HG00733	female	AMR	PUR	Science2021	HGSVC	yes-HIFI	yes-CLR	False	v12	N/A	N/A	N/A
HG00864	female	EAS	CDX	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
NA18534	male	EAS	CHB	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG00512	male	EAS	CHS	Science2021	HGSVC	yes-HIFI	yes-CLR	False	v12	N/A	N/A	N/A
HG00513	female	EAS	CHS	Science2021	HGSVC	yes-HIFI	yes-CLR	False	v12	N/A	N/A	N/A
HG00514	female	EAS	CHS	Science2021	HGSVC	yes-HIFI	yes-CLR	False	v12	N/A	N/A	N/A
NA18939	female	EAS	JPT	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG01596	male	EAS	KHV	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG02018	female	EAS	KHV	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
NA24385	male	EUR	ASK	Science2021	EXT[GIAB.HPG]	yes-HIFI	no-clr	False	v12	N/A	N/A	N/A
NA12329	female	EUR	CEU	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
NA12878	female	EUR	CEU	Science2021	EXT[GIAB.HPG]	yes-HIFI	no-clr	False	v12	N/A	N/A	N/A
HG00171	female	EUR	FIN	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG00096	male	EUR	GBR	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG01505	male	EUR	IBS	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
NA20509	male	EUR	TSI	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG03009	male	SAS	BEB	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
NA20847	female	SAS	GIH	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG03721	female	SAS	ITU	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG03732	male	SAS	ITU	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG02492	male	SAS	PJL	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
HG03683	female	SAS	STU	Science2021	HGSVC	no-hifi	yes-CLR	False	v12	N/A	N/A	N/A
