"HG-2306"	"Gap"	"chr20:30,811,899-31,107,036"	1	"Continuing Investigation"	""	"Ensembl, NCBI, UCSC"	"There is a gap in chromosome 20 between components AC104301.2 and FO681521.2"
"HG-2305"	"Gap"	"chr20:30,626,282-31,001,508"	1	"Continuing Investigation"	""	"Ensembl, NCBI, UCSC"	"There is a gap in chromosome 20 between components AC092107.5 and AC104301.2"
"HG-2304"	"Gap"	"chr18:46,905,291-47,146,196"	1	"Continuing Investigation"	""	"Ensembl, NCBI, UCSC"	"There is a gap in chromosome 18 between components AC090373.11 and AC012254.12, which affects representation of ELOA3B"
"HG-2303"	"Gap"	"chr16:33,264,596-33,585,107"	1	"Stalled"	""	"Ensembl, NCBI, UCSC"	"There is a gap in chromosome 16 between components AC141257.2 and AC136944.3"
"HG-2302"	"Gap"	"chr16:33,142,826-33,392,411"	1	"Stalled"	""	"Ensembl, NCBI, UCSC"	"There is a gap in chromosome 16 between components AC138869.2 and AC141257.2"
"HG-2299"	"Gap"	"chr1:223,535,421-223,638,013"	1	"Awaiting Elec Data"	""	"Ensembl, NCBI, UCSC"	"There is a gap between FO681503.2 and CR628412.1"
"HG-2298"	"Gap"	"chr1:2,625,357-2,791,270"	2	"Under Review"	""	"Ensembl, NCBI, UCSC"	"There is a gap between AL831784.17 and AC242022.2"
"HG-2297"	"Gap"	"chr1:501,618-697,537"	2	"Under Review"	""	"Ensembl, NCBI, UCSC"	"There is a gap between FO681485.2 and AC114498.2"
"HG-2296"	"Gap"	"chr1:177,418-297,968"	1	"Under Review"	""	"Ensembl, NCBI, UCSC"	"There is a gap between FO538757.3 and AP006222.1"
"HG-2295"	"Gap"	"chrY:26,639,005-56,771,509"	1	"Awaiting Elec Data"	""	"Ensembl, NCBI, UCSC"	"There is a gap in the Reference between components AC073880.5 and AC068123.5 in GRCh38 (NC_000024.10)"
"HG-2287"	"Gap"	"chr17:46,205,074-46,289,348"	3	"Open"	""	"Ensembl, NCBI, UCSC"	"Chr. 17 Alt Locus Gap"
"HG-2286"	"Gap"	"chr7:61,747,298-62,126,056"	1	"Under Review"	"GRCh38.p14"	"Ensembl, NCBI, UCSC"	"Chrom. 7 Type 2 Gap"
"HG-2284"	"Gap"	"chr17:21,754,600-22,179,923"	1	"Awaiting Exptl Data"	""	"Ensembl, NCBI, UCSC"	"Chr. 17 Reference Assembly Gap"
"HG-2283"	"Gap"	"chr17:60,001-150,207"	2	"Open"	""	"Ensembl, NCBI, UCSC"	"Chrom 17 Pre-Telomere Gap"
"HG-2281"	"Gap"	"chrY:56,673,215-56,887,902"	1	"Awaiting Elec Data"	""	"Ensembl, NCBI, UCSC"	"There is a gap in the Reference between components AC068123.5 and AC025226.4 in GRCh37."
