"HG-2560"	"Variation"	"chr6:26,694,991-26,859,000"	1	"Open"	""	"Ensembl, NCBI, UCSC"	"CHM1 contains an 12kbp inversion not currently represented in the Reference"
"HG-2559"	"Variation"	"chr1:248,511,795-248,693,469"	1	"Open"	""	"Ensembl, NCBI, UCSC"	"CHM1 contains an 18kbp inversion haplotype not seen in the Reference."
"HG-2548"	"Variation"	"chr10:91,432,807-91,565,244"	1	"Open"	""	"Ensembl, NCBI, UCSC"	"Possible Inversion in reference component AL161798.23"
"HG-2545"	"Variation"	"chr4:87,769,302-87,954,925"	1	"Under Review"	"GRCh39"	"Ensembl, NCBI, UCSC"	"Possible Inversion in reference component AC093768.3"
"HG-2537"	"Variation"	"chr2:85,260,454-85,347,654"	1	"Awaiting External Info"	""	"Ensembl, NCBI, UCSC"	"GeneID: 10618 (TGOLN2), poor quality (includes component misassembly)"
"HG-2518"	"Variation"	"chr11:55,919,155-55,979,394"	1	"Under Review"	""	"Ensembl, NCBI, UCSC"	"GeneID: 219445 (OR7E5P), poor quality (includes component misassembly)"
"HG-2515"	"Variation"	"chr1:156,490,864-156,653,375"	1	"Under Review"	""	"Ensembl, NCBI, UCSC"	"GeneID: 54865 (GPATCH4), poor quality (includes component misassembly)"
"HG-2514"	"Variation"	"chr4:144,101,561-144,285,075"	1	"Open"	""	"Ensembl, NCBI, UCSC"	"GRCh38 represents GYPA ""N"" haplotype but the medical community uses the ""M"" haplotype as reference"
"HG-2505"	"Variation"	"chr22:18,901,800-19,004,697"	1	"Open"	""	"Ensembl, NCBI, UCSC"	"Issue reported from Web Site: Variant representation question"
"HG-2504"	"Variation"	"chr1:113,794,913-113,936,531"	1	"Under Review"	""	"Ensembl, NCBI, UCSC"	"Uncommon allele reported in PTPN22"
"HG-2501"	"Variation"	"chr18:14,989,965-15,161,379"	1	"Open"	""	"Ensembl, NCBI, UCSC"	"A ~6kb insertion allele exists in Reference component AP005242.2."
"HG-2500"	"Variation"	"chr11:50,099,252-50,488,392"	1	"Under Review"	""	"Ensembl, NCBI, UCSC"	"An significant inversion haplotype exists in HG00514 on Chr. 11"
"HG-2498"	"Variation"	"chr8:6,604,731-13,171,905"	2	"Open"	""	"Ensembl, NCBI, UCSC"	"H1 Haplotype for Beta Defensin Region"
"HG-2495"	"Variation"	"chr11:64,715,726-64,822,611"	1	"Awaiting External Info"	""	"Ensembl, NCBI, UCSC"	"GRCh38 represents rare allele in MEN1 (rs540012)"
"HG-2492"	"Variation"	"chr4:151,244,749-151,371,951"	1	"Awaiting External Info"	"GRCh39"	"Ensembl, NCBI, UCSC"	"GeneID: 345062 (PRSS48), missing in assembly"
"HG-2481"	"Variation"	"chr18:36,161,583-36,345,191"	1	"Awaiting External Info"	""	"Ensembl, NCBI, UCSC"	"GeneID: 55034 (MOCOS), many placements, none good"
"HG-2457"	"Variation"	"chr12:40,461,422-40,561,522"	1	"Stalled"	""	"Ensembl, NCBI, UCSC"	"Possible misassembly or indel variation in GRCh38 within AC024935.34"
"HG-2436"	"Variation"	"chr10:83,155,663-83,232,965"	1	"Under Review"	""	"Ensembl, NCBI, UCSC"	"Possible misassembly or indel variation in GRCh38 within AL592302.7"
"HG-2423"	"Variation"	"chrX:154,028,410-154,068,494"	1	"Open"	""	"Ensembl, NCBI, UCSC"	"Minor allele representation in MECP2"
"HG-2422"	"Variation"	"chr4:3,071,242-3,269,621"	1	"Under Review"	""	"Ensembl, NCBI, UCSC"	"Issue reported from Web Site: Request to change HTT allele representation"
"HG-2415"	"Variation"		0	"Awaiting Exptl Data"			"GeneID: 100384884 (IGHV1OR15-5), missing in assembly"
"HG-2406"	"Variation"	"chr19:21,648,290-22,120,849"	1	"Awaiting Exptl Data"	""	"Ensembl, NCBI, UCSC"	"415 kb polymorphic inversion resulting in gene fusion"
