"SampleID"	"HaplotypeID"	"ClusterID"	"ContigOrientation"	"ContigStart"	"ContigEnd"	"SegmentColor"	"SegmentOrientation"		
"HG00512"	"h1"	"cluster10_h1tg000002l"	"-"	25203	67303	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01197289336942"	
"HG00512"	"h1"	"cluster10_h1tg000002l"	"-"	114025	167602	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.04481541650328"	
"HG00512"	"h1"	"cluster10_h1tg000002l"	"-"	222011	264105	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.99760542132611"	
"HG00512"	"h1"	"cluster10_h1tg000002l"	"-"	282168	301327	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.07970667941973"	
"HG00512"	"h1"	"cluster10_h1tg000002l"	"-"	318642	343144	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.98758843241902"	
"HG00512"	"h1"	"cluster10_h1tg000002l"	"-"	342810	387525	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.89426381178959"	
"HG00512"	"h1"	"cluster10_h1tg000002l"	"-"	401325	451224	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 93.17685283737606"	
"HG00512"	"h1"	"cluster10_h1tg000002l"	"-"	463444	473820	"beige"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.21247826926792"	
"HG00512"	"h1"	"cluster10_h1tg000002l"	"-"	502141	528069	"purple"	"direct"	"sequence identity is: 99.0 - query coverage is: 66.69581993569132"	
"HG00512"	"h1"	"cluster10_h1tg000002l"	"-"	541774	566310	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.12825286500352"	
"HG00512"	"h1"	"cluster10_h1tg000002l"	"-"	565976	596537	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.9433556134587"	
"HG00512"	"h1"	"cluster10_h1tg000003l"	"-"	14908239	14947139	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.06430868167203"	
"HG00512"	"h1"	"cluster10_h1tg000003l"	"-"	14962491	14972844	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.99034189685146"	
"HG00512"	"h1"	"cluster10_h1tg000003l"	"-"	15006209	15041540	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.03776292436086"	
"HG00512"	"h1"	"cluster10_h1tg000003l"	"-"	15041206	15065698	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.9462165404824"	
"HG00512"	"h1"	"cluster10_h1tg000003l"	"-"	15083041	15102178	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.98405866411605"	
"HG00512"	"h1"	"cluster10_h1tg000003l"	"-"	15120886	15152996	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 59.95929266334286"	"*incorrect segment"
"HG00512"	"h1"	"cluster10_h1tg000003l"	"-"	15184128	15224166	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.99244741512783"	"*incorrect segment"
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	13752336	13782897	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.9433556134587"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	13782563	13807099	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.12825286500352"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	13820804	13846732	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 66.69581993569132"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	13875053	13885429	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.21247826926792"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	13897649	13947548	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 93.17685283737606"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	13961348	14006063	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.89426381178959"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14005729	14030233	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.99586281080634"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14047548	14066707	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.07970667941973"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14084770	14126864	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.99760542132611"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14181273	14234850	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.04481541650328"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14281572	14323672	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.01197289336942"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14341739	14360876	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.95217599234816"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14378191	14402409	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.99174236168456"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14402409	14442439	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.97734224538348"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14473589	14505704	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 59.96862920844771"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14524415	14543552	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.98405866411605"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14560895	14585392	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.9669024864507"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14585061	14620363	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.04909180166912"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14653724	14664079	"beige"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00965810314854"	
"HG00512"	"h2"	"cluster10_h2tg000009l"	"+"	14679432	14718306	"purple"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.99742765273312"	
"HG00513"	"h1"	"cluster2_h1tg000005l"	"-"	35042602	35081477	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"HG00513"	"h1"	"cluster2_h1tg000005l"	"-"	35096832	35107189	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.02897430944563"	
"HG00513"	"h1"	"cluster2_h1tg000005l"	"-"	35140550	35180561	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.06419697141347"	
"HG00513"	"h1"	"cluster2_h1tg000005l"	"-"	35180227	35204737	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.02068594596831"	
"HG00513"	"h1"	"cluster2_h1tg000005l"	"-"	35222088	35241257	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.16472713746745"	
"HG00513"	"h1"	"cluster2_h1tg000005l"	"-"	35259965	35292080	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 59.96862920844771"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15309370	15335855	"pink"	"direct"	"sequence identity is: 98.0 - query coverage is: 100.01510516974434"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15335855	15360390	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.12411567580986"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15374092	15413014	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.1209003215434"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15428310	15438686	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.21247826926792"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15450906	15500809	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 93.18432207345994"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15514623	15554659	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.98867112269174"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15554659	15578882	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01238645747316"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15596197	15615334	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.95217599234816"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15633401	15675501	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01197289336942"	
"HG00513"	"h1"	"cluster2_h1tg000007l"	"+"	15722214	15754278	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 59.873396448378244"	
