SampleID	HaplotypeID	ContigID	ContigOrientation	SegmentStart	SegmentEnd	SegmentColor	SegmentOrientation	SegmentState	ContigLength
HG00512	h1	cluster10_h1tg000002l	-	4273	6965	cyan	invert	partial	14489007
HG00512	h1	cluster10_h1tg000002l	-	25372	67144	blue	direct	complete	14489007
HG00512	h1	cluster10_h1tg000002l	-	121686	167791	orange	direct	complete	14489007
HG00512	h1	cluster10_h1tg000002l	-	222208	263974	blue	direct	complete	14489007
HG00512	h1	cluster10_h1tg000002l	-	282374	301211	cyan	direct	complete	14489007
HG00512	h1	cluster10_h1tg000002l	-	318853	343024	green	direct	complete	14489007
HG00512	h1	cluster10_h1tg000002l	-	343024	383650	pink	direct	complete	14489007
HG00512	h1	cluster10_h1tg000002l	-	396377	443616	orange	invert	complete	14489007
HG00512	h1	cluster10_h1tg000002l	-	446441	474047	beige	invert	complete	14489007
HG00512	h1	cluster10_h1tg000002l	-	489205	528144	purple	invert	complete	14489007
HG00512	h1	cluster10_h1tg000002l	-	542016	566222	green	direct	complete	14489007
HG00512	h1	cluster10_h1tg000002l	-	566222	592692	pink	direct	complete	14489007
HG00512	h1	cluster10_h1tg000003l	-	14910361	14949267	purple	direct	complete	15235701
HG00512	h1	cluster10_h1tg000003l	-	14964462	14993334	beige	direct	complete	15235701
HG00512	h1	cluster10_h1tg000003l	-	15012300	15043516	pink	invert	complete	15235701
HG00512	h1	cluster10_h1tg000003l	-	15043516	15067678	green	invert	complete	15235701
HG00512	h1	cluster10_h1tg000003l	-	15085343	15104162	cyan	invert	complete	15235701
HG00512	h1	cluster10_h1tg000003l	-	15130684	15177480	orange	direct	complete	15235701
HG00512	h1	cluster10_h1tg000003l	-	15185871	15226168	pink	invert	complete	15235701
HG00512	h1	cluster10_h1tg000003l	-	15226168	15234703	green	invert	partial	15235701
HG00512	h2	cluster10_h2tg000009l	+	13757661	13784129	pink	direct	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	13784129	13808334	green	direct	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	13822205	13861143	purple	invert	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	13876301	13903906	beige	invert	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	13906730	13953968	orange	invert	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	13966694	14007318	pink	direct	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14007318	14031491	green	direct	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14049131	14067967	cyan	direct	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14086367	14128131	blue	direct	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14182546	14228649	orange	direct	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14283189	14324959	blue	direct	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14343363	14362175	cyan	invert	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14379818	14404038	green	invert	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14404038	14444327	pink	invert	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14452717	14499534	orange	direct	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14526058	14544876	cyan	invert	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14562541	14586709	green	invert	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14586709	14617909	pink	invert	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14636858	14665729	beige	direct	complete	28600764
HG00512	h2	cluster10_h2tg000009l	+	14680925	14719803	purple	direct	complete	28600764
HG00513	h1	cluster2_h1tg000005l	-	35050973	35089857	purple	direct	complete	35324532
HG00513	h1	cluster2_h1tg000005l	-	35105057	35133933	beige	direct	complete	35324532
HG00513	h1	cluster2_h1tg000005l	-	35152883	35188800	pink	invert	complete	35324532
HG00513	h1	cluster2_h1tg000005l	-	35188800	35212981	green	invert	complete	35324532
HG00513	h1	cluster2_h1tg000005l	-	35230655	35249509	cyan	invert	complete	35324532
HG00513	h1	cluster2_h1tg000005l	-	35276033	35322857	orange	direct	complete	35324532
HG00513	h1	cluster2_h1tg000007l	+	15313194	15339685	pink	direct	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15339685	15363892	green	direct	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15377762	15416693	purple	invert	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15431834	15459443	beige	invert	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15462267	15509526	orange	invert	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15517908	15558207	pink	direct	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15558207	15582436	green	direct	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15600081	15618896	cyan	direct	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15637302	15679078	blue	direct	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15733617	15777925	orange	invert	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15792842	15819341	pink	direct	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15819341	15843518	green	direct	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15861173	15879990	cyan	direct	complete	15936812
HG00513	h1	cluster2_h1tg000007l	+	15898391	15940194	blue	invert	complete	15936812
